Date,State,Weekly Cases,Weekly Tests,Test Positivity Rate
2021-05-05,Uttar Pradesh,216446,1704120,0.127
2021-05-05,Uttarakhand,43218,200580,0.215
2021-05-05,West Bengal,123083,392032,0.314
2021-05-06,Andaman and Nicobar Islands,380,6532,0.058
2021-05-06,Andhra Pradesh,143850,756580,0.19
2021-05-06,Arunachal Pradesh,1378,23771,0.058
2021-05-06,Assam,27761,374452,0.074
2021-05-06,Bihar,99339,651069,0.153
2021-05-06,Chandigarh,5629,24816,0.227
2021-05-06,Chhattisgarh,102783,399059,0.258
2021-05-06,Delhi,150749,528492,0.285
2021-05-06,Goa,20239,44300,0.457
2021-05-06,Gujarat,92800,1005919,0.092
2021-05-06,Haryana,99670,361643,0.276
2021-05-06,Himachal Pradesh,21800,92755,0.235
2021-05-06,Jammu and Kashmir,28960,285467,0.101
2021-05-06,Jharkhand,42639,308538,0.138
2021-05-06,Karnataka,315258,1148602,0.274
2021-05-06,Kerala,252412,966433,0.261
2021-05-06,Ladakh,1043,11137,0.094
2021-05-06,Lakshadweep,866,11741,0.074
2021-05-06,Madhya Pradesh,86479,437917,0.197
2021-05-06,Maharashtra,403183,1845593,0.218
2021-05-06,Manipur,2418,15367,0.157
2021-05-06,Meghalaya,2013,18653,0.108
2021-05-06,Mizoram,1085,19119,0.057
2021-05-06,Nagaland,1521,5503,0.276
2021-05-06,Odisha,64649,326214,0.198
2021-05-06,Puducherry,9200,42351,0.217
2021-05-06,Punjab,51440,410460,0.125
2021-05-06,Rajasthan,121722,582111,0.209
2021-05-06,Sikkim,1436,5023,0.286
2021-05-06,Tamil Nadu,149436,1027151,0.145
2021-05-06,Telangana,47788,518313,0.092
2021-05-06,Tripura,1506,32030,0.047
2021-05-06,Uttar Pradesh,207964,1704498,0.122
2021-05-06,Uttarakhand,45484,201718,0.225
2021-05-06,West Bengal,124111,398413,0.312
2021-05-07,Andaman and Nicobar Islands,362,5071,0.071
2021-05-07,Andhra Pradesh,143684,770510,0.186
2021-05-07,Arunachal Pradesh,1383,23560,0.059
2021-05-07,Assam,30190,370531,0.081
2021-05-07,Bihar,96952,660053,0.147
2021-05-07,Chandigarh,5795,25510,0.227
2021-05-07,Chhattisgarh,101417,401562,0.253
2021-05-07,Delhi,143534,525340,0.273
2021-05-07,Goa,21410,45713,0.468
2021-05-07,Gujarat,90259,983968,0.092
2021-05-07,Haryana,99704,364126,0.274
2021-05-07,Himachal Pradesh,23619,96263,0.245
2021-05-07,Jammu and Kashmir,30871,289135,0.107
2021-05-07,Jharkhand,42651,319611,0.133
2021-05-07,Karnataka,315743,1117711,0.282
2021-05-07,Kerala,253673,961291,0.264
2021-05-07,Ladakh,1054,12587,0.084
2021-05-07,Lakshadweep,862,11937,0.072
2021-05-07,Madhya Pradesh,85787,444471,0.193
2021-05-07,Maharashtra,394286,1824298,0.216
2021-05-07,Manipur,2747,16833,0.163
2021-05-07,Meghalaya,2081,19208,0.108
2021-05-07,Mizoram,1128,19349,0.058
2021-05-07,Nagaland,1604,5528,0.29
2021-05-07,Odisha,68206,331561,0.206
2021-05-07,Puducherry,9751,44120,0.221
2021-05-07,Punjab,53674,421236,0.127
2021-05-07,Rajasthan,122798,577706,0.213
2021-05-07,Sikkim,1499,5012,0.299
2021-05-07,Tamil Nadu,157209,1036392,0.152
2021-05-07,Telangana,51593,582644,0.089
2021-05-07,Tripura,1680,32791,0.051
2021-05-07,Uttar Pradesh,201355,1701734,0.118
2021-05-07,Uttarakhand,49472,208539,0.237
2021-05-07,West Bengal,125916,409716,0.307
2021-05-08,Andaman and Nicobar Islands,295,4322,0.068
2021-05-08,Andhra Pradesh,144337,773867,0.187
2021-05-08,Arunachal Pradesh,1410,23262,0.061
2021-05-08,Assam,32493,381669,0.085
2021-05-08,Bihar,96111,672377,0.143
2021-05-08,Chandigarh,5866,25441,0.231
2021-05-08,Chhattisgarh,97754,402613,0.243
2021-05-08,Delhi,135679,519944,0.261
2021-05-08,Goa,22858,47931,0.477
2021-05-08,Gujarat,88304,968141,0.091
2021-05-08,Haryana,100783,368858,0.273
2021-05-08,Himachal Pradesh,26292,103206,0.255
2021-05-08,Jammu and Kashmir,31827,291522,0.109
2021-05-08,Jharkhand,42440,333974,0.127
2021-05-08,Karnataka,322316,1096756,0.294
2021-05-08,Kerala,260008,963363,0.27
2021-05-08,Ladakh,1093,13709,0.08
2021-05-08,Lakshadweep,833,10261,0.081
2021-05-08,Madhya Pradesh,85006,450161,0.189
2021-05-08,Maharashtra,387582,1796043,0.216
2021-05-08,Manipur,2870,17435,0.165
2021-05-08,Meghalaya,2194,18870,0.116
2021-05-08,Mizoram,1250,19520,0.064
2021-05-08,Nagaland,1779,16955,0.105
2021-05-08,Odisha,69600,334963,0.208
2021-05-08,Puducherry,10075,46721,0.216
2021-05-08,Punjab,55699,425607,0.131
2021-05-08,Rajasthan,123133,572957,0.215
2021-05-08,Sikkim,1440,4897,0.294
2021-05-08,Tamil Nadu,165018,1040938,0.159
2021-05-08,Telangana,49025,573862,0.085
2021-05-08,Tripura,1866,34383,0.054
2021-05-08,Uttar Pradesh,197811,1659644,0.119
2021-05-08,Uttarakhand,52369,215281,0.243
2021-05-08,West Bengal,127840,416796,0.307
2021-05-09,Andaman and Nicobar Islands,283,3926,0.072
2021-05-09,Andhra Pradesh,142581,765062,0.186
2021-05-09,Arunachal Pradesh,1427,23058,0.062
2021-05-09,Assam,33407,393986,0.085
2021-05-09,Bihar,93836,692174,0.136
2021-05-09,Chandigarh,5901,25372,0.233
2021-05-09,Chhattisgarh,95049,409313,0.232
2021-05-09,Delhi,128621,509499,0.252
2021-05-09,Goa,23461,48808,0.481
2021-05-09,Gujarat,86410,957858,0.09
2021-05-09,Haryana,101009,374072,0.27
2021-05-09,Himachal Pradesh,26932,102889,0.262
2021-05-09,Jammu and Kashmir,33446,304354,0.11
2021-05-09,Jharkhand,41871,346197,0.121
2021-05-09,Karnataka,332513,1084882,0.306
2021-05-09,Kerala,263850,974708,0.271
2021-05-09,Ladakh,1091,13444,0.081
2021-05-09,Lakshadweep,871,9246,0.094
2021-05-09,Madhya Pradesh,83395,454956,0.183
2021-05-09,Maharashtra,379336,1786039,0.212
2021-05-09,Manipur,3193,18339,0.174
2021-05-09,Meghalaya,2291,18413,0.124
2021-05-09,Nagaland,1800,17451,0.103
2021-05-09,Odisha,72220,337160,0.214
2021-05-09,Puducherry,10348,50570,0.205
2021-05-09,Punjab,56855,426583,0.133
2021-05-09,Rajasthan,122756,563710,0.218
2021-05-09,Sikkim,1437,4906,0.293
2021-05-09,Tamil Nadu,173147,1051645,0.165
2021-05-09,Telangana,46571,552890,0.084
2021-05-09,Tripura,1970,35425,0.056
2021-05-09,Uttar Pradesh,190129,1591854,0.119
2021-05-09,Uttarakhand,52653,215731,0.244
2021-05-09,West Bengal,129766,423682,0.306
2021-05-10,Andaman and Nicobar Islands,248,3508,0.071
2021-05-10,Andhra Pradesh,138595,709911,0.195
2021-05-10,Arunachal Pradesh,1412,22183,0.064
2021-05-10,Assam,34721,410244,0.085
2021-05-10,Bihar,92603,719628,0.129
2021-05-10,Chandigarh,5874,25217,0.233
2021-05-10,Chhattisgarh,91642,415629,0.22
2021-05-10,Delhi,123229,514688,0.239
2021-05-10,Goa,23562,48902,0.482
2021-05-10,Gujarat,85182,961763,0.089
2021-05-10,Haryana,100842,375209,0.269
2021-05-10,Himachal Pradesh,28661,105601,0.271
2021-05-10,Jammu and Kashmir,33327,309521,0.108
2021-05-10,Jharkhand,41159,395426,0.104
2021-05-10,Karnataka,327380,1059902,0.309
2021-05-10,Kerala,265326,978160,0.271
2021-05-10,Ladakh,1114,14913,0.075
2021-05-10,Lakshadweep,902,9227,0.098
2021-05-10,Madhya Pradesh,81048,459038,0.177
2021-05-10,Maharashtra,367951,1766701,0.208
2021-05-10,Manipur,3255,18696,0.174
2021-05-10,Meghalaya,2454,18157,0.135
2021-05-10,Mizoram,1265,20978,0.06
2021-05-10,Nagaland,1832,17432,0.105
2021-05-10,Odisha,73337,338894,0.216
2021-05-10,Puducherry,10815,53063,0.204
2021-05-10,Punjab,58632,427597,0.137
2021-05-10,Rajasthan,121947,556078,0.219
2021-05-10,Sikkim,1456,4930,0.295
2021-05-10,Tamil Nadu,181173,1056857,0.171
2021-05-10,Telangana,45702,560071,0.082
2021-05-10,Tripura,1969,36178,0.054
2021-05-10,Uttar Pradesh,182354,1577874,0.116
2021-05-10,Uttarakhand,52791,209078,0.252
2021-05-10,West Bengal,131710,430581,0.306
2021-05-11,Andaman and Nicobar Islands,245,3088,0.079
2021-05-11,Andhra Pradesh,138906,681005,0.204
2021-05-11,Arunachal Pradesh,1383,21349,0.065
2021-05-11,Assam,36504,423813,0.086
2021-05-11,Bihar,88729,734808,0.121
2021-05-11,Chandigarh,5881,24853,0.237
2021-05-11,Chhattisgarh,85574,422406,0.203
2021-05-11,Delhi,115757,510310,0.227
2021-05-11,Goa,23872,50855,0.469
2021-05-11,Gujarat,83122,964503,0.086
2021-05-11,Haryana,96693,381675,0.253
2021-05-11,Himachal Pradesh,29814,106933,0.279
2021-05-11,Jammu and Kashmir,33029,313007,0.106
2021-05-11,Jharkhand,39550,411929,0.096
2021-05-11,Karnataka,322259,1022433,0.315
2021-05-11,Kerala,265426,974859,0.272
2021-05-11,Ladakh,1004,14742,0.068
2021-05-11,Lakshadweep,838,8171,0.103
2021-05-11,Madhya Pradesh,78566,459000,0.171
2021-05-11,Maharashtra,357027,1743409,0.205
2021-05-11,Manipur,3414,19665,0.174
2021-05-11,Meghalaya,2565,18689,0.137
2021-05-11,Mizoram,1239,23306,0.053
2021-05-11,Nagaland,1835,18339,0.1
2021-05-11,Odisha,74914,341453,0.219
2021-05-11,Puducherry,11726,55301,0.212
2021-05-11,Punjab,59712,424730,0.141
2021-05-11,Rajasthan,121053,540511,0.224
2021-05-11,Sikkim,1467,4838,0.303
2021-05-11,Tamil Nadu,189217,1072456,0.176
2021-05-11,Telangana,43627,564399,0.077
2021-05-11,Tripura,2164,37081,0.058
2021-05-11,Uttar Pradesh,177029,1603961,0.11
2021-05-11,Uttarakhand,52883,198960,0.266
2021-05-11,West Bengal,134207,440975,0.304
2021-05-12,Andaman and Nicobar Islands,247,2965,0.083
2021-05-12,Andhra Pradesh,138154,655388,0.211
2021-05-12,Arunachal Pradesh,1442,21206,0.068
2021-05-12,Assam,37335,435695,0.086
2021-05-12,Bihar,83756,751300,0.111
2021-05-12,Chandigarh,5840,24583,0.238
2021-05-12,Chhattisgarh,80567,433687,0.186
2021-05-12,Delhi,108084,508854,0.212
2021-05-12,Goa,23241,51006,0.456
2021-05-12,Gujarat,81184,962976,0.084
2021-05-12,Haryana,93767,398344,0.235
2021-05-12,Himachal Pradesh,30949,108051,0.286
2021-05-12,Jammu and Kashmir,32822,314555,0.104
2021-05-12,Jharkhand,38142,424548,0.09
2021-05-12,Karnataka,312145,1002001,0.312
2021-05-12,Kerala,267002,957858,0.279
2021-05-12,Ladakh,996,15760,0.063
2021-05-12,Lakshadweep,826,7760,0.106
2021-05-12,Madhya Pradesh,75217,457394,0.164
2021-05-12,Maharashtra,346168,1716376,0.202
2021-05-12,Manipur,3683,21242,0.173
2021-05-12,Meghalaya,2702,20678,0.131
2021-05-12,Mizoram,1241,23529,0.053
2021-05-12,Nagaland,1886,18491,0.102
2021-05-12,Odisha,76007,342543,0.222
2021-05-12,Puducherry,11914,57584,0.207
2021-05-12,Punjab,60030,422263,0.142
2021-05-12,Rajasthan,120622,524856,0.23
2021-05-12,Sikkim,1473,4767,0.309
2021-05-12,Tamil Nadu,196262,1073430,0.183
2021-05-12,Telangana,41989,556489,0.075
2021-05-12,Tripura,2340,37983,0.062
2021-05-12,Uttar Pradesh,163941,1619226,0.101
2021-05-12,Uttarakhand,52849,227991,0.232
2021-05-12,West Bengal,136482,451330,0.302
2021-05-13,Andaman and Nicobar Islands,255,2985,0.085
2021-05-13,Andhra Pradesh,138599,641687,0.216
2021-05-13,Arunachal Pradesh,1476,20827,0.071
2021-05-13,Assam,37867,433912,0.087
2021-05-13,Bihar,76382,743940,0.103
2021-05-13,Chandigarh,5841,25226,0.232
2021-05-13,Chhattisgarh,75842,440081,0.172
2021-05-13,Delhi,99440,503749,0.197
2021-05-13,Goa,21863,50572,0.432
2021-05-13,Gujarat,79381,964252,0.082
2021-05-13,Haryana,91213,411353,0.222
2021-05-13,Himachal Pradesh,31944,106323,0.3
2021-05-13,Jammu and Kashmir,32252,311483,0.104
2021-05-13,Jharkhand,36159,391862,0.092
2021-05-13,Karnataka,298384,965228,0.309
2021-05-13,Kerala,264493,941882,0.281
2021-05-13,Ladakh,1007,15832,0.064
2021-05-13,Lakshadweep,867,7997,0.108
2021-05-13,Madhya Pradesh,71215,455498,0.156
2021-05-13,Maharashtra,326556,1689688,0.193
2021-05-13,Manipur,3863,22651,0.171
2021-05-13,Meghalaya,2946,21051,0.14
2021-05-13,Nagaland,1985,19069,0.104
2021-05-13,Odisha,76135,345680,0.22
2021-05-13,Puducherry,12346,59726,0.207
2021-05-13,Punjab,59599,427496,0.139
2021-05-13,Rajasthan,118957,507227,0.235
2021-05-13,Sikkim,1440,4550,0.316
2021-05-13,Tamil Nadu,201985,1079429,0.187
2021-05-13,Telangana,40656,547886,0.074
2021-05-13,Tripura,2520,38865,0.065
2021-05-13,Uttar Pradesh,155064,1648150,0.094
2021-05-13,Uttarakhand,51459,220964,0.233
2021-05-13,West Bengal,138890,461698,0.301
2021-05-14,Andaman and Nicobar Islands,231,2920,0.079
2021-05-14,Andhra Pradesh,143429,630350,0.228
2021-05-14,Arunachal Pradesh,1571,20472,0.077
2021-05-14,Assam,36319,409651,0.089
2021-05-14,Bihar,70410,745103,0.094
2021-05-14,Chandigarh,5601,24689,0.227
2021-05-14,Chhattisgarh,69808,441236,0.158
2021-05-14,Delhi,88114,492731,0.179
2021-05-14,Goa,20123,49171,0.409
2021-05-14,Gujarat,77312,954412,0.081
2021-05-14,Haryana,87954,423751,0.208
2021-05-14,Himachal Pradesh,30811,102252,0.301
2021-05-14,Jammu and Kashmir,29836,293317,0.102
2021-05-14,Jharkhand,33962,398981,0.085
2021-05-14,Karnataka,291382,933431,0.312
2021-05-14,Kerala,260727,928912,0.281
2021-05-14,Ladakh,1133,15235,0.074
2021-05-14,Lakshadweep,939,7721,0.122
2021-05-14,Madhya Pradesh,67594,458587,0.147
2021-05-14,Maharashtra,312457,1671560,0.187
2021-05-14,Manipur,3989,22459,0.178
2021-05-14,Meghalaya,3276,20688,0.158
2021-05-14,Nagaland,1951,19516,0.1
2021-05-14,Odisha,76287,351095,0.217
2021-05-14,Puducherry,12574,60654,0.207
2021-05-14,Punjab,59337,430133,0.138
2021-05-14,Rajasthan,115015,497230,0.231
2021-05-14,Sikkim,1404,4491,0.313
2021-05-14,Tamil Nadu,207412,1086659,0.191
2021-05-14,Telangana,33510,463880,0.072
2021-05-14,Tripura,2757,39337,0.07
2021-05-14,Uttar Pradesh,142948,1670590,0.086
2021-05-14,Uttarakhand,47592,213208,0.223
2021-05-14,West Bengal,140520,467198,0.301
2021-05-15,Andaman and Nicobar Islands,227,2560,0.089
2021-05-15,Andhra Pradesh,145881,618314,0.236
2021-05-15,Arunachal Pradesh,1576,20077,0.078
2021-05-15,Assam,35910,409212,0.088
2021-05-15,Bihar,64798,747265,0.087
2021-05-15,Chandigarh,5391,24303,0.222
2021-05-15,Chhattisgarh,65233,449561,0.145
2021-05-15,Delhi,77180,475158,0.162
2021-05-15,Goa,18329,46627,0.393
2021-05-15,Gujarat,74481,947788,0.079
2021-05-15,Haryana,82963,424753,0.195
2021-05-15,Himachal Pradesh,29532,98988,0.298
2021-05-15,Jammu and Kashmir,28725,280064,0.103
2021-05-15,Jharkhand,31007,406262,0.076
2021-05-15,Karnataka,285483,894749,0.319
2021-05-15,Kerala,251436,902994,0.278
2021-05-15,Ladakh,1154,14392,0.08
2021-05-15,Lakshadweep,894,6765,0.132
2021-05-15,Madhya Pradesh,63567,451566,0.141
2021-05-15,Maharashtra,290727,1648073,0.176
2021-05-15,Manipur,4277,23066,0.185
2021-05-15,Meghalaya,3461,20954,0.165
2021-05-15,Nagaland,1922,8269,0.232
2021-05-15,Odisha,76285,357233,0.214
2021-05-15,Puducherry,12469,60661,0.206
2021-05-15,Punjab,57066,432819,0.132
2021-05-15,Rajasthan,110593,468004,0.236
2021-05-15,Sikkim,1419,4657,0.305
2021-05-15,Tamil Nadu,213673,1095606,0.195
2021-05-15,Telangana,32622,459094,0.071
2021-05-15,Tripura,2847,38235,0.074
2021-05-15,Uttar Pradesh,128825,1703142,0.076
2021-05-15,Uttarakhand,44856,197908,0.227
2021-05-15,West Bengal,140595,470384,0.299
2021-05-16,Andaman and Nicobar Islands,236,2741,0.086
2021-05-16,Andhra Pradesh,147888,607370,0.243
2021-05-16,Arunachal Pradesh,1637,19905,0.082
2021-05-16,Assam,36261,415961,0.087
2021-05-16,Bihar,60433,758346,0.08
2021-05-16,Chandigarh,5160,23957,0.215
2021-05-16,Chhattisgarh,61001,452857,0.135
2021-05-16,Delhi,70300,475665,0.148
2021-05-16,Goa,17010,44833,0.379
2021-05-16,Gujarat,71607,944485,0.076
2021-05-16,Haryana,78530,429848,0.183
2021-05-16,Himachal Pradesh,28817,99807,0.289
2021-05-16,Jammu and Kashmir,27676,268227,0.103
2021-05-16,Jharkhand,29159,411563,0.071
2021-05-16,Karnataka,269084,861477,0.312
2021-05-16,Kerala,245339,894996,0.274
2021-05-16,Ladakh,1135,14316,0.079
2021-05-16,Lakshadweep,886,6389,0.139
2021-05-16,Madhya Pradesh,59622,461801,0.129
2021-05-16,Maharashtra,276715,1665194,0.166
2021-05-16,Manipur,4375,23266,0.188
2021-05-16,Meghalaya,3612,22516,0.16
2021-05-16,Nagaland,1926,8056,0.239
2021-05-16,Odisha,77382,364918,0.212
2021-05-16,Puducherry,12797,61085,0.209
2021-05-16,Punjab,55580,445475,0.125
2021-05-16,Rajasthan,102962,465295,0.221
2021-05-16,Sikkim,1532,4795,0.319
2021-05-16,Tamil Nadu,217957,1108628,0.197
2021-05-16,Telangana,31462,448721,0.07
2021-05-16,Tripura,3257,39499,0.082
2021-05-16,Uttar Pradesh,116155,1741289,0.067
2021-05-16,Uttarakhand,43013,205039,0.21
2021-05-16,West Bengal,140271,471838,0.297
2021-05-17,Andaman and Nicobar Islands,240,2809,0.085
2021-05-17,Andhra Pradesh,151463,620995,0.244
2021-05-17,Arunachal Pradesh,1736,21241,0.082
2021-05-17,Assam,36852,435245,0.085
2021-05-17,Bihar,56179,783576,0.072
2021-05-17,Chandigarh,4917,23556,0.209
2021-05-17,Chhattisgarh,55711,453048,0.123
2021-05-17,Delhi,62173,463187,0.134
2021-05-17,Goa,15768,42991,0.367
2021-05-17,Gujarat,67150,930351,0.072
2021-05-17,Haryana,73300,430079,0.17
2021-05-17,Himachal Pradesh,28004,102118,0.274
2021-05-17,Jammu and Kashmir,27406,266042,0.103
2021-05-17,Jharkhand,25479,363694,0.07
2021-05-17,Karnataka,268382,834603,0.322
2021-05-17,Kerala,239254,881753,0.271
2021-05-17,Ladakh,1153,14265,0.081
2021-05-17,Lakshadweep,1004,6969,0.144
2021-05-17,Madhya Pradesh,55828,465012,0.12
2021-05-17,Maharashtra,266095,1707280,0.156
2021-05-17,Manipur,4281,23301,0.184
2021-05-17,Meghalaya,3837,23059,0.166
2021-05-17,Mizoram,1206,29848,0.04
2021-05-17,Nagaland,2066,8753,0.236
